,Date,Dispatchable Generation,Residual Demand,RSA Contracted Demand,International Exports,International Imports,Thermal Generation,Nuclear Generation,Eskom Gas Generation,Eskom OCGT Generation,Hydro Water Generation,Pumped Water Generation,ILS Usage,Manual Load_Reduction(MLR),IOS Excl ILS and MLR,Dispatchable IPP OCGT,Eskom Gas SCO,Eskom OCGT SCO,Hydro Water SCO,Pumped Water SCO Pumping,Wind,PV,CSP,Other RE,Total RE,Wind Installed Capacity,PV Installed Capacity,CSP Installed Capacity,Other RE Installed Capacity,Total RE Installed Capacity,Installed Eskom Capacity,Total PCLF,Total UCLF,Total OCLF,Total UCLF+OCLF,Non Comm Sentout,Drakensberg Gen Unit Hours,Palmiet Gen Unit Hours,Ingula Gen Unit Hours,Year,Month,day,hour,DayOfWeek,WeekOfYear,Week_Weekend,BusinessHours,Season
42816,18-02-23 0:00,18923.668,21335.002,22923.36,1214.974,1312,17576,-35,0,725,606,0,0,2411.334,0,0,-2,-3.333,0,-1255,1554.752,0,0,33.606,1588.358,3442.57,2287.09,500,50.58,6280.24,46686,4251,17385.905,1639.674,19025,579,0,73.4,34.1,2023,2,18,0,5,7,0,0,1
42817,18-02-23 1:00,18729.668,21049.925,22382.296,1186.483,1295,17596,-35,0,1042,603,0,0,2320.257,0,0,-2,-3.333,0,-1766,1297.789,0,0,34.582,1332.371,3442.57,2287.09,500,50.58,6280.24,46686,4251,17441.214,1585.424,19026,638,0,74.6,35.7,2023,2,18,1,5,7,0,0,1
42818,18-02-23 2:00,18787.534,20878.279,22119.017,1201.586,1303,17461,-35,0,1015,606,0,0,2090.745,0,0,-2,-3.466,0,-1557,1205.27,0,0,35.468,1240.738,3442.57,2287.09,500,50.58,6280.24,46686,4251,17515.426,1697.507,19212,934,0,75.4,38.1,2023,2,18,2,5,7,0,0,1
42819,18-02-23 3:00,18899.467,20998.117,22102.379,1178.783,1315,17320,-35,0,1086,609,0,0,2098.65,0,0,-2,-2.533,0,-1391,1069.45,0,0,34.812,1104.262,3442.57,2287.09,500,50.58,6280.24,46686,4251,17549.681,1927.618,19477,299,0,76.6,38.9,2023,2,18,3,5,7,0,0,1
42820,18-02-23 4:00,19148.267,21391.721,22333.852,1197.899,1311,17382,-35,0,1376,606,0,0,2243.454,0,0,-2,-1.733,0,-1488,908.379,0,0,33.752,942.131,3442.57,2287.09,500,50.58,6280.24,46686,4251,17651.024,1944.321,19595,345,0,77.4,40.3,2023,2,18,4,5,7,0,0,1
42821,18-02-23 5:00,19646.267,21906.34,22823.279,1194.291,1343,17611,-36,0,1312,604,0,0,2260.073,0,0,-2,-1.733,0,-1184,886.224,0,0,30.715,916.939,3442.57,2287.09,500,50.58,6280.24,46686,4251,17614.807,1796.619,19411,426,0,77.8,41.7,2023,2,18,5,5,7,0,0,1
42822,18-02-23 6:00,20747.4,23074.974,24075.359,1206.706,1393,17570,-31,0,1247,604,134,0,2327.574,0,0,-2,-1.6,0,-166,860.143,60.803,46.059,33.38,1000.385,3442.57,2287.09,500,50.58,6280.24,46686,4251,17411.433,1905.035,19316,468,0,78.2,42,2023,2,18,6,5,7,0,0,1
42823,18-02-23 7:00,21707.267,24246.879,25756.846,1288.348,1425,17673,209,0,1332,604,479,0,2539.612,0,0,-2,-1.733,0,-11,782.802,565.546,129.409,32.21,1509.967,3442.57,2287.09,500,50.58,6280.24,46686,4236.883,16684.278,1959.752,18644,3,0,78.2,42,2023,2,18,7,5,7,0,0,1
42824,18-02-23 8:00,22339.267,25106.65,27310.236,1336.485,1472,17702,236,0,1317,605,1017,0,2767.383,0,0,-2,-1.733,0,-6,670.793,1119.226,379.341,34.226,2203.586,3442.57,2287.09,500,50.58,6280.24,46686,4174,16656.725,1959.752,18616,477,0,78.2,42,2023,2,18,8,5,7,0,1,1
42825,18-02-23 9:00,22484.229,25333.626,27817.878,1355.239,1444,17317,357,0,1046,603,1464,0,2849.397,0,264.829,-2,-1.6,0,-8,608.072,1371.471,473.274,31.435,2484.252,3442.57,2287.09,500,50.58,6280.24,46686,4174,16556.316,2214.121,18770,437,0,78.2,40.9,2023,2,18,9,5,7,0,1,1
